Date&Time,TOTAL_THM_ONLY|P,TOTAL_NLDC_HYD|P,TOTAL_NLDC_GAS|P,TOTAL_NLDC_NPC|P,ALL_INDIA_WIND|P,ALL_IND_SOLAR|P,Solar,Solar+Wind,Total,NLDC_DEMAND|P,INTRA_SYSTEM_INTERTIA|P,ER_Total_Inertia|P,SYS_IN|P,SPARE 05
2023-09-16 05:30:00,144201.71145833333,22978.754036458333,2735.5811686197917,5998.776448567708,12012.663313802082,62.30726674397786,62.30726674397786,12074.970580546062,187989.7936925252,185733.621875,3.370605945587158,3.621985912322998,2.531788031260173,2.0243515094121296
2022-05-23 03:50:00,115398.484375,15870.5322265625,2520.540283203125,4374.65576171875,20522.099609375,-12.94356918334961,0.0,20522.099609375,158686.31225585938,156354.390625,3.296056032180786,3.621985912322998,3.4203286170959477,1.8071036338806152
2023-07-21 14:00:00,127525.64557291666,24325.554166666665,3274.6687744140627,4915.326236979166,18738.796809895834,27780.399088541668,27780.399088541668,46519.1958984375,206560.39064941407,204279.17135416667,3.3639869689941406,3.621985912322998,2.518308401107788,2.038873672485352
2023-06-26 07:00:00,127720.46536458333,22950.386783854166,2115.223681640625,4880.92744140625,11509.571614583334,5617.60634765625,5617.60634765625,17127.177962239584,174794.18123372397,170618.61666666667,3.41595721244812,3.621985912322998,2.917718291282654,2.037619376182556
2022-12-29 05:30:00,136237.56979166667,7816.043684895833,2365.2634440104166,4969.6603515625,2275.3917887369794,20.309125328063963,20.309125328063963,2295.700914065043,153684.23818620047,151514.70572916666,3.26493501663208,3.621985912322998,2.1777049462000533,9.761519432067873
2023-09-09 03:05:00,133223.675,22190.406380208333,2944.7267822265626,6227.959456380208,17460.353450520834,25.332171376546224,25.332171376546224,17485.68562189738,182072.4532407125,179747.69166666668,3.3987748622894287,3.621985912322998,2.542602300643921,2.067692518234253
2023-03-26 20:10:00,138142.7015625,12978.145345052084,2090.1216796875,5067.020149739584,7384.883723958334,-20.85560334523519,0.0,7384.883723958334,165662.8724609375,164299.43645833334,3.2497344970703126,3.621985912322998,2.5002212524414062,4.566343180338541
2023-05-16 13:35:00,142713.45260416667,11230.5458984375,2997.223421223958,4472.487662760416,11156.018326822918,39802.96979166667,39802.96979166667,50958.988118489586,212372.6977050781,209095.48072916668,3.3167231082916255,3.621985912322998,2.243504762649536,2.99886736869812
2021-12-12 04:05:00,99260.5546875,6816.96142578125,2918.96142578125,5499.53857421875,5035.62890625,-12.805145263671877,0.0,5035.62890625,119531.64501953124,120017.9375,0.0,0.0,0.0,0.0
2022-07-09 12:00:00,108555.078125,25233.787109375,2679.140380859375,5405.2998046875,18348.861328125,22595.66796875,22595.66796875,40944.529296875,182817.83471679688,180282.828125,3.4151132106781006,3.621985912322998,2.9197838306427,1.674838304519653
2023-05-03 19:00:00,130899.26067708334,24684.644921875,3116.135042317708,4812.095166015625,7030.133040364583,630.9486389160156,630.9486389160156,7661.081679280599,171173.21748657228,169082.21770833334,3.285654306411743,3.621985912322998,2.7416110038757324,4.455625534057617
2023-02-04 21:35:00,140211.73020833332,10630.865201822917,2444.285603841146,5424.566389973958,2674.409773763021,40.488712310791016,40.488712310791016,2714.898486073812,161426.34589004517,160135.896875,3.329662052790324,3.621985912322998,2.2556240558624268,9.23081398010254
2023-11-04 23:50:00,144559.12708333333,9330.6298828125,2292.5323893229165,5526.101106770833,3540.428190104167,10.986050605773926,10.986050605773926,3551.4142407099407,165259.80470294954,163999.85520833332,3.231312990188598,3.621985912322998,2.518308401107788,2.2708728313446045
